DATE,inflation,Food
1/1/2017,2.8,151.819
2/1/2017,2.9,152.094
3/1/2017,2.9,151.394
4/1/2017,3.1,151.053
5/1/2017,3.1,151.39
6/1/2017,3.3,150.434
7/1/2017,3.3,150.343
8/1/2017,3.3,151.374
9/1/2017,3.2,150.377
10/1/2017,3,149.996
11/1/2017,2.9,148.498
12/1/2017,2.6,149.028
1/1/2018,2.5,149.855
2/1/2018,2.5,150.156
3/1/2018,2.4,150.254
4/1/2018,2.2,150.766
5/1/2018,2.4,150.791
6/1/2018,2.3,150.988
7/1/2018,2.6,150.832
8/1/2018,2.7,150.306
9/1/2018,2.7,150.7
10/1/2018,3,150.916
11/1/2018,3.2,150.883
12/1/2018,3.4,151.002
1/1/2019,3.4,151.723
2/1/2019,3.8,152.726
3/1/2019,3.8,153.469
4/1/2019,4.1,154.079
5/1/2019,4.3,154.985
6/1/2019,4.5,155.156
7/1/2019,4.7,156.355
8/1/2019,4.7,156.185
9/1/2019,4.9,155.656
10/1/2019,5,156.534
11/1/2019,5,156.5
12/1/2019,5,156.207
1/1/2020,5,155.686
2/1/2020,4.9,156.738
3/1/2020,4.8,156.25
4/1/2020,4,155.792
5/1/2020,3.9,155.297
6/1/2020,3.2,154.131
7/1/2020,2.9,154.041
8/1/2020,2.8,155.271
9/1/2020,3.1,154.382
10/1/2020,3,153.825
11/1/2020,2.8,155.057
12/1/2020,3.1,155.04
1/1/2021,3.4,154.958
2/1/2021,3.2,155.237
3/1/2021,2.9,155.473
4/1/2021,3.6,155.767
5/1/2021,3.7,155.278
6/1/2021,4.2,155.513
7/1/2021,4.3,156.406
8/1/2021,4.5,156.024
9/1/2021,3.9,156.843
10/1/2021,4,157.035
11/1/2021,4.5,157.431
12/1/2021,4.5,158.73
1/1/2022,4.2,159.179
2/1/2022,4.7,160.926
3/1/2022,5.8,164.706
4/1/2022,6.6,166.72
5/1/2022,7.2,169.335
6/1/2022,7.7,171.516
7/1/2022,9.1,173.512
8/1/2022,9.4,176.467
9/1/2022,10.5,178.728
10/1/2022,11.3,180.587
11/1/2022,11.7,182.118
12/1/2022,12.2,182.82
1/1/2023,12.1,183.17
2/1/2023,12.7,185.33
3/1/2023,12.4,188.38
4/1/2023,12.1,191.055
5/1/2023,12.6,192.666
6/1/2023,13.1,192.219
7/1/2023,12.4,191.917
8/1/2023,12.6,191.735
9/1/2023,12.5,192.229
10/1/2023,12.1,192.364
11/1/2023,11.9,192.388
12/1/2023,11.6,192.123
1/1/2024,11.6,191.939
2/1/2024,10.7,190.158
3/1/2024,10.4,191.698
4/1/2024,10.3,190.83
5/1/2024,9.3,190.634
6/1/2024,8.9,191.895
7/1/2024,8.6,191.844
8/1/2024,8.1,191.057
9/1/2024,8,190.53
